rs,Rep,SHL,RDW,SDW,TPB,TRL,TSRL,TNR,NWA,PRL,PC1,PC2,PC3
id43,2,8.1,0.023033333,0.0235,0.046533333,36.25,29.9833,7.3333,0.17,6.2700,116.2162024,27.2342183,10.70453506
id44,2,23.46666667,0.050433333,0.049966667,0.1004,351.0967,317.1733,19,2.0933,33.9167,-62.7433325,-13.45787029,30.27473807
id45,2,24.03333333,0.034333333,0.050766667,0.0851,301.1733,268.3967,18.3333,1.8067,32.7833,-59.86890155,-17.05902312,29.73174606
id46,2,15.83333333,0.039833333,0.0495,0.089333333,204.7,178.0967,11,1.18,26.6033,111.1593142,20.73803787,-8.920039307
id47,2,25.26666667,0.0797,0.090466667,0.170166667,499.4833,461.1467,26,2.9333,38.3367,92.55448729,13.58417744,7.000766566
id48,2,21,0.035,0.06755,0.10255,226.775,192.52,13.5,1.375,34.2550,84.78675741,2.376072636,-21.43402205
id49,2,25.93333333,0.0713,0.096966667,0.168266667,580.8433,539.24,26,3.4767,41.6067,-129.0283884,47.73181444,-2.388078309
id50,2,16.43333333,0.044666667,0.0579,0.102566667,190.89,160.87,10.3333,1.0333,30.0200,111.9546722,24.12857471,3.126443084
id51,2,21.13333333,0.049666667,0.0652,0.114866667,264.1067,227.24,13.3333,1.55,36.8633,96.58953699,13.27624054,-8.310487149
id52,2,13,0.031366667,0.038533333,0.0699,111.83,83.1733,6,0.5867,28.6600,80.98395318,0.923621858,-14.33310034
id53,2,8.866666667,0.030933333,0.029466667,0.0604,93.8067,72.7967,7,0.5167,21.0100,83.38986264,-0.289084002,-13.15313298
id54,2,13.26666667,0.058533333,0.0509,0.109433333,367.6,330.7667,18.6667,2.21,36.8367,103.427242,16.4489128,-5.735467628
id55,2,15.16666667,0.0465,0.0642,0.1107,203.1133,169.3367,11.3333,1.1767,33.7733,95.80897099,12.10912353,26.51015148
id56,2,17.46666667,0.045066667,0.08,0.125066667,226.28,190.87,11,1.2867,35.4067,120.1798871,31.78989486,13.34618613
id57,2,21.6,0.045,0.070966667,0.115966667,402.73,361.85,20.3333,2.3733,40.8800,-142.4580579,-143.7274527,28.3253932
id58,2,8.8,0.00865,0.0184,0.02705,13.47,10.375,4.5,0.05,3.1000,-153.5126038,-150.3156676,42.37581715
id59,2,19.45,0.05255,0.06595,0.1185,316.495,283.85,18.5,1.89,32.6450,125.2397241,34.55570215,14.84642182
id60,2,23.23333333,0.0561,0.059033333,0.115133333,343.55,306.06,15.6667,1.95,37.4900,104.5113734,19.84712601,23.32371296
id61,2,18.1,0.061066667,0.043466667,0.104533333,263.7133,230.4233,13.6667,1.5867,33.2900,124.2958775,33.33132137,7.739528676
id62,2,24.26666667,0.047633333,0.0674,0.115033333,334.36,300.2467,18.6667,2.0033,34.1167,123.9411708,32.55727594,7.644666698
id63,2,7.6,0.029033333,0.0363,0.065333333,36.77,29.29,5.3333,0.15,7.4833,-35.77707015,-83.33523605,-3.438528582
id64,2,11.2,0.0614,0.0832,0.1446,258.5833,222.8733,12.3333,1.47,35.7100,114.1647063,24.43587436,11.06921989
id65,2,5.95,0.0393,0.0229,0.0622,88.03,61.435,6,0.535,26.5950,107.0549962,15.98556478,-9.669912013
id66,2,20.63333333,0.062066667,0.081333333,0.1434,258.84,218.7267,7.3333,0.9533,40.1100,-160.9025162,-152.4549156,44.34098441
id67,2,12.73333333,0.0378,0.0423,0.0801,112.15,80.9,4.6667,0.56,31.2500,-138.3321794,56.67320565,0.864405617
id68,2,15.16666667,0.0222,0.0344,0.0566,112.88,88.43,6.6667,0.53,24.4467,109.5285293,21.48468149,1.588404519
id69,2,10.43333333,0.0368,0.0295,0.0663,133.5,112.2467,8.6667,0.6667,21.2567,-122.4724964,36.61113576,-4.13286821
id70,2,27.6,0.056866667,0.1133,0.170166667,505.8267,465.9633,23.6667,3.0333,39.8633,-124.1225244,41.23692161,1.663747177
id71,2,16.86666667,0.0239,0.053266667,0.077166667,52.2367,37.94,7.6667,0.3167,14.2967,111.3603753,20.20855762,-10.03363704
id72,2,26.63333333,0.080966667,0.103233333,0.1842,378.4433,332.4567,14.6667,2.0533,45.9867,-121.4428689,38.96535828,-4.161006211
id73,2,17.36666667,0.052933333,0.052833333,0.105766667,119.2433,94.21,7.6667,0.68,25.0300,-110.2125444,25.80547462,-2.910198412
id74,2,17.4,0.063,0.0684,0.1314,130.53,112.6,10.5,0.63,17.9300,-95.37473288,-0.38851012,4.906548213
id75,2,13.3,0.048733333,0.050233333,0.098966667,73.14,61.91,9,0.3833,11.2300,-139.3092615,58.45256289,-0.616545016
id76,2,13.56666667,0.039733333,0.0618,0.101533333,65.1467,55.5433,11,0.3733,9.6033,-120.7906924,36.78107392,0.893912911
id77,2,17.36666667,0.0476,0.0585,0.1061,190.8167,157.3533,9,1.0633,33.4667,116.99398,28.49381958,-0.53572104
id78,2,8.5,0.03015,0.0282,0.05835,103.625,76.575,2.5,0.365,27.0500,122.686656,30.42682771,-2.712643941
id79,2,18.2,0.063666667,0.064,0.127666667,291.2667,259.4067,16.6667,1.7367,31.8567,113.3265397,21.76828027,-23.37369249
id80,2,17.56666667,0.040633333,0.036166667,0.0768,194.56,157.74,6.3333,0.8833,36.8100,89.66942953,7.428479371,15.80915229
id81,2,18.9,0.0403,0.053433333,0.093733333,300.02,260.1233,14,1.7267,39.8967,91.90729679,11.74787531,38.78515452
id82,2,21.96666667,0.050133333,0.057866667,0.108,195.0667,170.1733,12.6667,1.0467,24.8900,103.4669863,21.23726523,26.71836984
id83,2,24.7,0.045333333,0.064666667,0.11,277.92,246.1967,17.3333,1.6767,31.7200,-136.4204518,56.9854534,0.498745528
id84,2,20.13333333,0.033366667,0.058133333,0.0915,250.6767,218.4133,14,1.4833,32.2633,-152.4436371,-141.9919614,40.34640006
id85,2,20,0.044033333,0.061066667,0.1051,207.9,185.56,16,1.2033,22.3433,-129.6576762,49.39851092,1.552255872
id86,2,18.56666667,0.0644,0.067366667,0.131766667,393.8667,348.7767,17,2.35,45.0900,-113.3891572,23.03195796,3.148100946
id87,2,17.95,0.03315,0.0825,0.11565,219.065,185.84,13,1.335,33.2250,-130.1006575,47.98620195,4.190580482
id88,2,16.66666667,0.040566667,0.061266667,0.101833333,155.73,119.4033,6.3333,0.78,36.3300,-130.0130216,47.59364946,4.100065527
id89,2,12.83333333,0.035333333,0.034566667,0.0699,126.9133,97.34,7.6667,0.71,29.5800,-133.892941,50.77945546,-0.699401394
id90,2,18.2,0.039466667,0.0604,0.099866667,174.4767,140.7933,8.3333,0.99,33.6867,87.84784452,3.480102594,-16.84430158
id91,2,14.83333333,0.0442,0.0522,0.0964,206.7133,174.9833,10.6667,1.16,31.7233,-138.5909361,57.29589327,1.095580424
id92,2,19.8,0.029733333,0.0493,0.079033333,84.3867,63.79,5.3333,0.3967,20.5933,94.34978339,11.32129984,4.945020873
id93,2,13.9,0.064366667,0.052166667,0.116533333,284.42,245.2833,13.3333,1.66,39.1400,89.63756959,8.107369647,-6.188970204
id94,2,21.33333333,0.0134,0.020333333,0.033733333,287.43,253.22,16,1.75,34.2100,-104.4682475,19.07217718,-0.626511606
id95,2,12.66666667,0.063733333,0.036966667,0.1007,229.3033,201.44,12.3333,1.37,27.8600,-129.352585,46.89211547,-0.517911272
id96,2,24.46666667,0.055666667,0.0736,0.129266667,443.4633,409.12,23.3333,2.7067,34.3433,82.00362824,0.660099732,-18.13191246
id97,2,26.66666667,0.056833333,0.080233333,0.137066667,339.4033,306.9033,19,1.9967,32.4967,-131.9504194,51.34062912,-2.674782875
id98,2,19.8,0.0325,0.0573,0.0898,136.855,110.235,7.5,0.67,26.6200,-107.9435466,26.9319967,-5.956974295
id99,2,22.4,0.07295,0.07285,0.1458,258.07,227.01,15,1.54,31.0550,-100.1248391,15.00897195,-0.037068992
id100,2,16.2,0.0442,0.062433333,0.106633333,253.51,215.5433,13.3333,1.5233,37.9667,-98.43418654,11.38191323,-2.169409935
id101,2,25.56666667,0.0588,0.0737,0.1325,465.4,431.12,27.6667,2.73,34.2767,-128.778681,42.61772351,-0.551333853
id102,2,26.73333333,0.0518,0.072966667,0.124766667,329.4767,289.8467,15,1.8433,39.6300,-98.94541965,8.132264958,0.231918844
id103,2,20.2,0.033033333,0.051733333,0.084766667,180.1033,145.8167,9.6667,1.04,34.2833,-125.2189584,42.48772796,-2.077485578
id104,2,19.1,0.049666667,0.054166667,0.103833333,315.16,276.3967,16.3333,1.8133,38.7633,103.1676103,17.08213023,20.48940339
id105,2,27.06666667,0.053866667,0.0565,0.110366667,358.5,324.0367,19,2.16,34.4633,102.0489977,16.63786633,0.907401839
id106,2,15.83333333,0.058833333,0.048633333,0.107466667,207.3967,171.2967,10.3333,1.2433,36.0933,99.32878798,-181.4133194,55.60680594
id107,2,22.8,0.036766667,0.0757,0.112466667,245.9167,215.05,13.6667,1.46,30.8667,117.9392367,25.71087126,-7.844138702
id108,2,15.16666667,0.0327,0.0413,0.074,135.9833,108.6233,7,0.7733,27.3633,-123.6431009,39.45039399,-5.720202345
id109,2,17.66666667,0.041933333,0.037966667,0.0799,181.7333,146.7633,8.6667,1.0967,34.9733,99.42108426,11.82691226,-16.06601356
id110,2,23.93333333,0.0648,0.071966667,0.136766667,349.6233,314.7667,18.6667,2.1,34.8600,99.67241336,13.90917049,7.896650093
id111,2,17.83333333,0.0559,0.059366667,0.115266667,223.0933,191.5267,10.6667,1.2033,31.5667,5.236267904,-52.98090672,15.66492023
id112,2,23.73333333,0.064133333,0.0819,0.146033333,515.8133,479.9133,27.3333,3.09,35.9000,-155.3259197,-151.2532259,41.44028475
id113,2,13.9,0.025766667,0.0415,0.067266667,90.2467,76.4833,7.66,0.5167,13.7633,94.24445365,14.73447863,20.68977827
id114,2,27,0.0764,0.0693,0.1457,461.3667,427.35,23.3333,2.7333,34.0133,-88.137106,-6.221579849,-4.15955769
id115,2,25.73333333,0.074166667,0.078866667,0.153033333,248.11,213.8233,12,1.2333,34.2933,133.698449,38.84272981,-1.419570686
id116,2,10.16666667,0.034766667,0.035566667,0.070333333,77.0433,54.7267,5.3333,0.4033,22.3133,-55.61672726,-44.85724005,1.738608734
id117,2,21.86666667,0.0528,0.074633333,0.127433333,306.59,267.27,13.3333,1.6867,39.3200,-77.30368945,-20.26488704,0.315323465
id118,2,19.43333333,0.060233333,0.059033333,0.119266667,298.5767,257.8167,12.3333,1.5767,40.7600,113.5474841,22.51893543,19.14599959
id119,2,24.33333333,0.0566,0.0645,0.1211,244.5967,214.14,15.6667,1.39,30.4533,124.1212271,35.49450077,20.86954282
id120,2,17.16666667,0.047433333,0.053966667,0.1014,156.6767,126.4633,8.6667,0.93,30.2100,95.05843729,-179.1737798,55.29203032
id121,2,20.76666667,0.059933333,0.061666667,0.1216,307.8,264.6,14.3333,1.8667,43.1967,-134.5956766,53.34316037,-2.722902125
id122,2,15.76666667,0.060633333,0.047633333,0.108266667,305.9167,265.2533,13,1.7767,40.6633,-130.4788076,49.1222138,0.40652632
id123,2,23.5,0.07195,0.105,0.17695,314.75,273.955,15,1.78,40.8000,-106.3881403,23.06264445,1.518139063
id124,2,20.36666667,0.075666667,0.063,0.138666667,454.2567,415.3567,21,2.6933,38.9000,-114.1378882,26.36354054,6.917753361
id125,2,21.33333333,0.047866667,0.086066667,0.133933333,262.35,228.5867,12.6667,1.5833,33.7633,97.6013526,-170.6748427,43.99153947
id126,2,15.5,0.055066667,0.061033333,0.1161,293.7,253.75,14,1.7667,39.9467,89.88801009,21.27262043,0.888245608
id127,2,19.06666667,0.052466667,0.049933333,0.1024,201.6567,163.8,9,1.1767,37.8600,-134.7655701,53.77387738,-2.626851438
id128,2,25.13333333,0.0695,0.085333333,0.154833333,398.9767,361.2967,19,2.3933,37.6800,-129.7140942,49.53112163,0.140024353
id129,2,26.1,0.068,0.073933333,0.141933333,564.2,528.2633,28.3333,3.3867,35.9367,80.45905503,-1.746140129,3.442112396
id130,2,16.66666667,0.042133333,0.053366667,0.0955,146.25,114.3,7,0.795,31.9500,-107.2075243,21.16404313,-3.378365688
id131,2,23.85,0.0571,0.07305,0.13015,397.62,359.92,17.5,2.3,37.6900,-107.9972143,23.48655013,-1.056846256
id132,2,20.33333333,0.0475,0.064133333,0.111633333,278.7067,242.9533,14.6667,1.5633,35.7500,-145.7217466,66.776196,0.433175644
id133,2,21.7,0.0365,0.0469,0.0834,332.0367,300.9667,18,1.9667,31.0733,-121.0662349,36.91327491,-2.070215325
id134,2,22.76666667,0.0936,0.101833333,0.195433333,590.5,551.93,28.3333,3.49,38.5700,-129.1312751,44.82075592,-1.572507377
